,subject_uuid,session_date,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_source,protocol_number,subject_description,subject_ts,subject_strain,avg_weight,session_day,condition
79,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-04,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.045061256213924,26,6
80,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-13,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.031002171448366,35,6
81,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-25,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0867700412046442,47,5
82,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-09,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0825522978978805,0,1
83,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-17,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.956020177465934,8,1
84,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-27,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0028839125317688,18,6
85,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-05,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0497476475976038,27,6
86,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-14,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0698990679775897,36,6
87,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-26,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.045061256213924,48,5
88,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-10,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.988130584707526,1,1
89,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-22,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.019287803387638,13,1
90,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-31,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0014836662994566,22,6
